GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aggregated-report/eureka-server,com.shoppe.eureka,EurekaServerApplication,8,0,0,0,3,0,2,0,2,0
aggregated-report/api-gateway,com.shoppe.gateway.filter,AuthenticationGatewayFilterFactory,138,0,10,0,26,0,9,0,4,0
aggregated-report/api-gateway,com.shoppe.gateway.filter,AuthenticationGatewayFilterFactory.Config,3,0,0,0,1,0,1,0,1,0
aggregated-report/api-gateway,com.shoppe.gateway.config,CorsConfig,95,0,0,0,12,0,2,0,2,0
aggregated-report/api-gateway,com.shoppe.gateway,ApiGatewayApplication,8,0,0,0,3,0,2,0,2,0
aggregated-report/auth-service,com.shoppe.auth.config,DatabaseSeeder,79,0,2,0,20,0,4,0,3,0
aggregated-report/auth-service,com.shoppe.auth.model,RoleName,34,0,0,0,4,0,1,0,1,0
aggregated-report/auth-service,com.shoppe.auth.model,User,11,0,0,0,2,0,2,0,2,0
aggregated-report/auth-service,com.shoppe.auth.dto,JwtResponse,21,0,0,0,8,0,1,0,1,0
aggregated-report/auth-service,com.shoppe.auth.security,JwtAuthenticationFilter,52,0,6,0,12,0,4,0,1,0
aggregated-report/auth-service,com.shoppe.auth.security,JwtUtils,119,0,0,0,34,0,6,0,6,0
aggregated-report/auth-service,com.shoppe.auth.security,CustomUserDetailsService,38,0,0,0,8,0,3,0,3,0
aggregated-report/auth-service,com.shoppe.auth.security,SecurityConfig,123,0,0,0,25,0,9,0,9,0
aggregated-report/auth-service,com.shoppe.auth,AuthServiceApplication,8,0,0,0,3,0,2,0,2,0
aggregated-report/auth-service,com.shoppe.auth.controller,AuthController,341,0,12,0,64,0,16,0,10,0
aggregated-report/user-service,com.shoppe.user.controller,UserController,247,0,22,0,55,0,21,0,10,0
aggregated-report/user-service,com.shoppe.user.model,UserProfile,11,0,0,0,4,0,2,0,2,0
aggregated-report/user-service,com.shoppe.user,UserServiceApplication,8,0,0,0,3,0,2,0,2,0
aggregated-report/product-service,com.shoppe.product.service,DataImportService,192,0,24,0,46,0,16,0,4,0
aggregated-report/product-service,com.shoppe.product.service,ProductServiceImpl,349,0,6,0,73,0,18,0,15,0
aggregated-report/product-service,com.shoppe.product,ProductServiceApplication,27,0,0,0,9,0,4,0,4,0
aggregated-report/product-service,com.shoppe.product.model,Product,11,0,0,0,4,0,2,0,2,0
aggregated-report/product-service,com.shoppe.product.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
aggregated-report/product-service,com.shoppe.product.exception,GlobalExceptionHandler,44,0,0,0,9,0,5,0,5,0
aggregated-report/product-service,com.shoppe.product.controller,ImageProxyController,145,0,12,0,36,0,8,0,2,0
aggregated-report/product-service,com.shoppe.product.controller,CategoryController,90,0,0,0,17,0,6,0,6,0
aggregated-report/product-service,com.shoppe.product.controller,ProductController,199,0,32,0,41,0,26,0,10,0
aggregated-report/product-service,com.shoppe.product.controller,DataImportController,7,0,0,0,2,0,1,0,1,0
aggregated-report/order-service,com.shoppe.order.controller,OrderController,130,0,2,0,25,0,17,0,16,0
aggregated-report/order-service,com.shoppe.order.config,DatabaseMigrationRunner,33,0,0,0,11,0,2,0,2,0
aggregated-report/order-service,com.shoppe.order.model,CartItem,76,0,0,0,10,0,16,0,16,0
aggregated-report/order-service,com.shoppe.order.model,CompareItem,76,0,0,0,10,0,16,0,16,0
aggregated-report/order-service,com.shoppe.order.model,OrderItem,66,0,0,0,7,0,14,0,14,0
aggregated-report/order-service,com.shoppe.order.model,Order,90,0,0,0,10,0,17,0,17,0
aggregated-report/order-service,com.shoppe.order.model,Wishlist,56,0,0,0,8,0,12,0,12,0
aggregated-report/order-service,com.shoppe.order.dto,CartItemDto,276,0,54,0,7,0,44,0,17,0
aggregated-report/order-service,com.shoppe.order.dto,PaymentIntentResponse,78,0,14,0,5,0,14,0,7,0
aggregated-report/order-service,com.shoppe.order.dto,CheckoutSessionResponse,78,0,14,0,3,0,14,0,7,0
aggregated-report/order-service,com.shoppe.order.dto,OrderDto,318,0,62,0,8,0,50,0,19,0
aggregated-report/order-service,com.shoppe.order.dto,OrderItemDto,196,0,38,0,5,0,32,0,13,0
aggregated-report/order-service,com.shoppe.order.dto,ProductDto,396,0,78,0,10,0,62,0,23,0
aggregated-report/order-service,com.shoppe.order.service,OrderService,764,0,26,0,178,0,38,0,25,0
aggregated-report/order-service,com.shoppe.order,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
aggregated-report/retailer-service,com.shoppe.retailer.model,Retailer,11,0,0,0,2,0,2,0,2,0
aggregated-report/retailer-service,com.shoppe.retailer.controller,RetailerController,264,0,2,0,52,0,19,0,18,0
aggregated-report/retailer-service,com.shoppe.retailer,RetailerServiceApplication,8,0,0,0,3,0,2,0,2,0
