GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Shopp-E Auth Service,com.shoppe.auth.config,DatabaseSeeder,79,0,2,0,20,0,4,0,3,0
Shopp-E Auth Service,com.shoppe.auth.model,RoleName,34,0,0,0,4,0,1,0,1,0
Shopp-E Auth Service,com.shoppe.auth.model,User,11,0,0,0,2,0,2,0,2,0
Shopp-E Auth Service,com.shoppe.auth.dto,JwtResponse,21,0,0,0,8,0,1,0,1,0
Shopp-E Auth Service,com.shoppe.auth.security,JwtAuthenticationFilter,52,0,6,0,12,0,4,0,1,0
Shopp-E Auth Service,com.shoppe.auth.security,JwtUtils,119,0,0,0,34,0,6,0,6,0
Shopp-E Auth Service,com.shoppe.auth.security,CustomUserDetailsService,38,0,0,0,8,0,3,0,3,0
Shopp-E Auth Service,com.shoppe.auth.security,SecurityConfig,123,0,0,0,25,0,9,0,9,0
Shopp-E Auth Service,com.shoppe.auth,AuthServiceApplication,8,0,0,0,3,0,2,0,2,0
Shopp-E Auth Service,com.shoppe.auth.controller,AuthController,341,0,12,0,64,0,16,0,10,0
