GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Shopp-E Order Service,com.shoppe.order.controller,OrderController,130,0,2,0,25,0,17,0,16,0
Shopp-E Order Service,com.shoppe.order.config,DatabaseMigrationRunner,33,0,0,0,11,0,2,0,2,0
Shopp-E Order Service,com.shoppe.order.model,CartItem,27,49,0,0,2,8,2,14,2,14
Shopp-E Order Service,com.shoppe.order.model,CompareItem,76,0,0,0,10,0,16,0,16,0
Shopp-E Order Service,com.shoppe.order.model,OrderItem,66,0,0,0,7,0,14,0,14,0
Shopp-E Order Service,com.shoppe.order.model,Order,70,20,0,0,8,2,13,4,13,4
Shopp-E Order Service,com.shoppe.order.model,Wishlist,56,0,0,0,8,0,12,0,12,0
Shopp-E Order Service,com.shoppe.order.dto,CartItemDto,246,30,54,0,5,2,36,8,9,8
Shopp-E Order Service,com.shoppe.order.dto,PaymentIntentResponse,78,0,14,0,5,0,14,0,7,0
Shopp-E Order Service,com.shoppe.order.dto,CheckoutSessionResponse,78,0,14,0,3,0,14,0,7,0
Shopp-E Order Service,com.shoppe.order.dto,OrderDto,318,0,62,0,8,0,50,0,19,0
Shopp-E Order Service,com.shoppe.order.dto,OrderItemDto,196,0,38,0,5,0,32,0,13,0
Shopp-E Order Service,com.shoppe.order.dto,ProductDto,361,35,78,0,5,5,52,10,13,10
Shopp-E Order Service,com.shoppe.order.service,OrderService,574,190,22,4,141,37,30,8,18,7
Shopp-E Order Service,com.shoppe.order,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
