GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Shopp-E Product Service,com.shoppe.product.service,DataImportService,192,0,24,0,46,0,16,0,4,0
Shopp-E Product Service,com.shoppe.product.service,ProductServiceImpl,349,0,6,0,73,0,18,0,15,0
Shopp-E Product Service,com.shoppe.product,ProductServiceApplication,27,0,0,0,9,0,4,0,4,0
Shopp-E Product Service,com.shoppe.product.model,Product,11,0,0,0,4,0,2,0,2,0
Shopp-E Product Service,com.shoppe.product.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Shopp-E Product Service,com.shoppe.product.exception,GlobalExceptionHandler,44,0,0,0,9,0,5,0,5,0
Shopp-E Product Service,com.shoppe.product.controller,ImageProxyController,145,0,12,0,36,0,8,0,2,0
Shopp-E Product Service,com.shoppe.product.controller,CategoryController,90,0,0,0,17,0,6,0,6,0
Shopp-E Product Service,com.shoppe.product.controller,ProductController,199,0,32,0,41,0,26,0,10,0
Shopp-E Product Service,com.shoppe.product.controller,DataImportController,7,0,0,0,2,0,1,0,1,0
